diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_10Percentile,original_firstorder_90Percentile,original_firstorder_Energy,original_firstorder_Entropy,original_firstorder_InterquartileRange,original_firstorder_Kurtosis,original_firstorder_Maximum,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Mean,original_firstorder_Median,original_firstorder_Minimum,original_firstorder_Range,original_firstorder_RobustMeanAbsoluteDeviation,original_firstorder_RootMeanSquared,original_firstorder_Skewness,original_firstorder_TotalEnergy,original_firstorder_Uniformity,original_firstorder_Variance,original_glcm_Autocorrelation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_glcm_ClusterTendency,original_glcm_Contrast,original_glcm_Correlation,original_glcm_DifferenceAverage,original_glcm_DifferenceEntropy,original_glcm_DifferenceVariance,original_glcm_Id,original_glcm_Idm,original_glcm_Idmn,original_glcm_Idn,original_glcm_Imc1,original_glcm_Imc2,original_glcm_InverseVariance,original_glcm_JointAverage,original_glcm_JointEnergy,original_glcm_JointEntropy,original_glcm_MCC,original_glcm_MaximumProbability,original_glcm_SumAverage,original_glcm_SumEntropy,original_glcm_SumSquares,original_gldm_DependenceEntropy,original_gldm_DependenceNonUniformity,original_gldm_DependenceNonUniformityNormalized,original_gldm_DependenceVariance,original_gldm_GrayLevelNonUniformity,original_gldm_GrayLevelVariance,original_gldm_HighGrayLevelEmphasis,original_gldm_LargeDependenceEmphasis,original_gldm_LargeDependenceHighGrayLevelEmphasis,original_gldm_LargeDependenceLowGrayLevelEmphasis,original_gldm_LowGrayLevelEmphasis,original_gldm_SmallDependenceEmphasis,original_gldm_SmallDependenceHighGrayLevelEmphasis,original_gldm_SmallDependenceLowGrayLevelEmphasis,original_glrlm_GrayLevelNonUniformity,original_glrlm_GrayLevelNonUniformityNormalized,original_glrlm_GrayLevelVariance,original_glrlm_HighGrayLevelRunEmphasis,original_glrlm_LongRunEmphasis,original_glrlm_LongRunHighGrayLevelEmphasis,original_glrlm_LongRunLowGrayLevelEmphasis,original_glrlm_LowGrayLevelRunEmphasis,original_glrlm_RunEntropy,original_glrlm_RunLengthNonUniformity,original_glrlm_RunLengthNonUniformityNormalized,original_glrlm_RunPercentage,original_glrlm_RunVariance,original_glrlm_ShortRunEmphasis,original_glrlm_ShortRunHighGrayLevelEmphasis,original_glrlm_ShortRunLowGrayLevelEmphasis,original_glszm_GrayLevelNonUniformity,original_glszm_GrayLevelNonUniformityNormalized,original_glszm_GrayLevelVariance,original_glszm_HighGrayLevelZoneEmphasis,original_glszm_LargeAreaEmphasis,original_glszm_LargeAreaHighGrayLevelEmphasis,original_glszm_LargeAreaLowGrayLevelEmphasis,original_glszm_LowGrayLevelZoneEmphasis,original_glszm_SizeZoneNonUniformity,original_glszm_SizeZoneNonUniformityNormalized,original_glszm_SmallAreaEmphasis,original_glszm_SmallAreaHighGrayLevelEmphasis,original_glszm_SmallAreaLowGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_ZonePercentage,original_glszm_ZoneVariance,original_ngtdm_Busyness,original_ngtdm_Coarseness,original_ngtdm_Complexity,original_ngtdm_Contrast,original_ngtdm_Strength,class
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},245a9a4dd4a20aabe9c478e95a35aa833ca20590,2D,"(1.0, 1.0)","(512, 512)",12483.646366119385,0.0,65535.0,e8c584530c1f1daf34aaa9d0eb5be7b118d4f61b,"(1.0, 1.0)","(512, 512)","(123, 131, 265, 249)",65985,1,"(255.0, 255.0)","(255.0, 255.0)",44784.0,54244.0,163184929757953.0,8.461668147380134,5156.0,2.729957784107729,65535.0,2971.766733445525,49594.80174282034,49642.0,37455.0,28080.0,2134.3096900054447,49729.88030393413,-0.0008806582434136,163184929757953.0,0.0032348221349844,13416635.133960744,255672.29642063225,17397953844.59101,-39498.28756191928,80457.02129528501,5262.10159917146,0.8772175640870563,57.41925813695772,7.113816892824008,1942.627273775252,0.0511017775826051,0.0188852952904964,0.995891361696046,0.9526874985383524,-0.1900346013381194,0.979465571736742,0.0131709965927264,486.69653556380246,3.0187123926732985e-05,15.31313581242392,0.8800898077481444,0.0001238536932362,973.3930711276284,10.060569613647148,21429.78072361405,8.83635014142547,57108.0225051148,0.8654697659333909,0.0745603532422727,213.4497385769493,21466.55260708073,257967.3979843904,1.229961354853376,318113.1093127226,3.849602842459047e-05,3.716376399467072e-05,0.9454080472834736,243688.22390736957,3.684566568344168e-05,211.37138016060203,0.0032335975136291,21482.733966371958,257933.15789978972,1.0285216422522443,265393.3036331416,3.762552167644996e-05,3.74601181127201e-05,8.533768085729585,64154.20747840149,0.9814413296225484,0.9906380237932864,0.0095293928815355,0.9929630739362102,256092.1105536456,3.741918275569746e-05,205.22681061345253,0.0032297820435845,21533.396091770053,257828.13304585943,1.1191495388876649,288992.15517295647,3.905898907055291e-05,3.836915360909427e-05,59047.223914890936,0.9292629113797322,0.9722710744249649,250576.43988763777,3.820709462774171e-05,8.69200861754725,0.9629764340380388,0.0407773433490836,0.0281228002035157,0.0001226101670197,8843846.748975826,5.416673474916249,42.36787257453175,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b3a0776528a8f7438a2f6cc95486cafad01adefa,2D,"(1.0, 1.0)","(512, 512)",8872.116298675537,0.0,65535.0,adc928c6220e20774a225d4ca204cdc7c4d0cb06,"(1.0, 1.0)","(512, 512)","(131, 123, 249, 265)",65985,1,"(255.0, 255.0)","(255.0, 255.0)",16731.0,50103.0,91660554298647.0,9.913415952651455,19234.0,2.0918596210457534,65535.0,10153.867979853032,35246.981207850265,36384.0,6073.0,59462.0,7784.493212836272,37270.792646809066,-0.3018407492683091,91660554298647.0,0.0011259311502164,146762300.25488666,1595959.9737954256,1790742008637.3398,-273051177.1850318,927466.4183202316,7050.6269900503885,0.9849043894092974,66.13847457740737,7.242259734168906,2647.1568490355926,0.0464955774341076,0.0168808891418454,0.9987619547474058,0.973385262894143,-0.3621860328699674,0.999616732551883,0.0099655174248293,1168.6984253340413,1.4986704709510509e-05,16.23093788094119,0.9879047724018362,7.431825737076564e-05,2337.396850668088,11.565907577126158,233629.26132756987,10.261252944345111,57325.21265439115,0.8687612738408903,0.0727601985358255,74.29456694703342,234818.0004120826,1599977.4103508373,1.2239296809881033,1964434.9238160187,2.071612482569255e-05,2.0161199182088323e-05,0.9468486103744116,1513336.53603481,2.0033282893496324e-05,73.59353785310707,0.0011255673646241,234771.1856354221,1599716.07661118,1.027715405891497,1644854.729255092,2.039206991588249e-05,2.032417148667853e-05,9.977350541362476,64198.94742875813,0.9818817140969586,0.9908842918845192,0.009229633596717,0.9931348794011016,1588539.2858977052,2.030739261710171e-05,71.5233850555739,0.0011244224096523,234671.49104021705,1598901.5138423808,1.1155182442736091,1786858.6667295508,2.110645324728061e-05,2.0823914555355743e-05,59224.052649782265,0.9310640420346532,0.9730091479018518,1554860.8623515454,2.075961000333345e-05,10.126930645623954,0.9639918163218912,0.0394165728992629,0.0024536819013984,0.000298702954938,48590185.02313766,14.347312654631532,540.0919558074414,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},f204a9caa1dea0bd0cfa97a68b8b1b98e9c45054,2D,"(1.0, 1.0)","(512, 512)",17011.27187728882,0.0,65535.0,808abbd2ee9b2d3d56f5defff18a89887f84acbe,"(1.0, 1.0)","(512, 512)","(127, 107, 257, 297)",76329,1,"(255.0, 255.0)","(255.0, 255.0)",49167.4,63758.0,262800844467409.0,9.221734315198646,6554.0,3.5452716564234508,65535.0,4267.207850477557,58423.44135256587,59927.0,39456.0,26079.0,2892.248748837225,58677.09328978481,-1.1675210689476432,262800844467409.0,0.0022260206393983,29702777.461406738,624768.6193891636,126720415256.37802,-96085870.67341249,189008.97003415617,281.1661648059236,0.997028305231318,12.736529209516062,5.093756803899441,115.17322834816522,0.1589976534794562,0.0845931447584852,0.9997423200677712,0.988050894743296,-0.4076263132358504,0.9997109400251432,0.0845652259069677,759.9912065261182,6.102686101998565e-05,14.679048205928735,0.99754415144521,0.0005531869089558,1519.9824130522431,10.302876389724744,47322.53404974048,10.047843243222648,49671.192377733234,0.650751252836186,0.2501039587479799,169.90992938463756,47528.67625594289,624313.3151095913,1.8020018603676191,1177656.1155655126,2.373046455921557e-05,2.090504778465494e-05,0.8339692064032749,511515.2033274706,2.0269137443209996e-05,162.3590577491199,0.002194483633137,47745.474387861366,622378.1957183682,1.097564342925117,689359.9637592675,2.1804696732694545e-05,2.1452355923060133e-05,9.421503300875486,69599.60296874726,0.9406874006135034,0.9692810072187504,0.0330892831925812,0.976910802905878,606588.7072282407,2.1366945419381825e-05,141.98422216614964,0.0021074350580521,48392.45757357536,616499.8648716845,1.4505365650928417,927743.5724845264,2.4776732043535512e-05,2.3188518932142106e-05,53743.72150564766,0.7977041471457061,0.9134442239447544,558170.3262120392,2.2843516637192504e-05,9.818248158742168,0.88266582819112,0.1670025779124785,0.0010888435603571,0.0009514303155625,3526640.9772005007,0.7061771746755322,687.5255382348784,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},8e7a5be028d372a7e1729e2bd28bac01c4a00a8b,2D,"(1.0, 1.0)","(512, 512)",13416.888912200928,0.0,65535.0,adc928c6220e20774a225d4ca204cdc7c4d0cb06,"(1.0, 1.0)","(512, 512)","(131, 123, 249, 265)",65985,1,"(255.0, 255.0)","(255.0, 255.0)",46107.0,59912.0,189402222621661.0,9.513728363126248,8262.0,2.53432772111209,65535.0,4530.171085059671,53302.370644843526,53735.0,36234.0,29301.0,3400.5931696895973,53575.95547964341,-0.4440051468643844,189402222621661.0,0.0015469406782555,29240289.196455844,513982.0130563099,86931796790.45592,-35616439.77997519,185371.1170338833,782.921846991651,0.9915829644644472,21.879214102879544,5.828127213797663,291.9967459496116,0.1053419679196473,0.0479661098520799,0.9994321417905736,0.9818946804008672,-0.3681639851673146,0.9995227771368212,0.0483634923770538,683.9845864113286,2.612615713330712e-05,15.518273804564895,0.9933129356793182,0.0001276572473334,1367.9691728227212,10.636629132311809,46538.50972021968,10.0672996384536,51378.46324164583,0.7786385275690813,0.1341006986250276,102.07488065469424,46784.00398482532,514121.9515192847,1.420125786163522,729060.1144654088,2.1453328489218614e-05,1.965311067087688e-05,0.9047508693053136,465235.1869629461,1.9248075419709096e-05,100.32430893820823,0.0015463178778647,46815.31533016943,514151.5875467544,1.0520322520457903,540846.892695346,2.0138146064460612e-05,1.991538767936061e-05,9.625867825296504,62758.82172795288,0.9672925252263826,0.9832461923164356,0.0176282334565968,0.9874684409250396,507737.0403042992,1.98620629145776e-05,95.23863894385156,0.0015446274440275,46918.6326858799,514191.8534334555,1.224058516332025,629143.8157416718,2.1685100151402423e-05,2.073425503081886e-05,54220.84709202375,0.8793805684910919,0.95114203888114,489098.23706480366,2.052663599813953e-05,9.865218970424651,0.9344244904144882,0.0787787839195572,0.0018123610453828,0.0007942718910372,5654091.781845585,1.1715213975747638,381.6714295584492,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},1e4e7e585f4bfb62c816c1b42c5215a913246ea6,2D,"(1.0, 1.0)","(512, 512)",24474.435989379883,0.0,65535.0,a9044e3b23271a0d079af4e1799a829436be1392,"(1.0, 1.0)","(512, 512)","(83, 75, 345, 361)",124545,1,"(255.0, 255.0)","(255.0, 255.0)",42748.0,57498.0,334038947976180.0,9.38875538817532,6076.0,2.9209196180377197,65535.0,4134.513553590044,51514.12379461239,52526.0,35042.0,30493.0,2710.219038241572,51788.74717915666,-0.5447218556407943,334038947976180.0,0.0018708709925333,28369384.059956923,480818.7225933157,95273247069.0599,-42161061.63577889,180326.50110802983,672.9023101743554,0.992560476150989,20.30266752343196,5.717345820709889,248.91824123971944,0.1115701983413391,0.0520079415775952,0.9995493473460884,0.9838079766691336,-0.3464066110188667,0.999187088203728,0.0517276342423649,660.2312623919812,2.9067107872429388e-05,15.520237205162182,0.9949590963185996,0.0001239555749076,1320.4625247839642,10.584751187715147,45249.85085455208,10.00177756146896,94351.98370869968,0.7575734369802053,0.1491272315857768,233.00762776506485,45390.44450707943,481099.2987113092,1.4709301858765909,712831.4186679514,1.481858390892584e-05,1.2767472255510227e-05,0.8940931680204834,429219.54312300775,1.2301428748477723e-05,228.66964751808567,0.0018710514326399,45370.29160979029,480909.4461146253,1.0580531974455876,509415.2275947693,1.3181431299358285e-05,1.2927630415934372e-05,9.517430265233486,117735.65302546136,0.9633219005793294,0.9812878879119996,0.0194999502949143,0.985924453125157,473997.249977159,1.2865945318406296e-05,216.1471434015868,0.0018721818885908,45298.02304461322,480385.20659668086,1.252373280670755,604269.1483733499,1.4531001650351488e-05,1.3427019276481734e-05,100009.29506634791,0.8662413389663922,0.9453876478729016,453667.1077829868,1.3185909907756138e-05,9.77959852919917,0.9269902444899434,0.0886501341007102,0.0037914706273603,0.0003720752484567,5173518.126862199,1.0878841453443373,213.2968744713308,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},7b064474058e11b162053c123599e4c59e571823,2D,"(1.0, 1.0)","(512, 512)",36798.99256134033,0.0,65535.0,be82a2d3124cdeeb6d297517b45f33a7231bb8b0,"(1.0, 1.0)","(512, 512)","(15, 39, 481, 433)",208273,1,"(255.0, 255.0)","(255.0, 255.0)",37936.0,55188.0,457981996045238.0,9.95535479478324,11172.0,2.709727528941062,65535.0,6111.750049867953,46317.26198787169,46576.0,22283.0,43252.0,4539.199189175492,46892.96745837406,-0.2784143196460596,457981996045238.0,0.0011783598190203,53661638.99898515,1012382.9512053032,316365530056.9382,-55578207.91989032,342047.5853013615,688.4043004341299,0.9959817635150856,20.46331289100923,5.730232353598398,257.11716901933,0.1110495680462979,0.0514950078884727,0.9997704527348014,0.9884022933690468,-0.3761647962188962,0.9996951350483748,0.0516884069412364,962.8307651945818,1.7910803632510377e-05,16.163092876125926,0.9976661887001942,7.285278508785775e-05,1925.661530389345,11.108019033626508,85683.99740044815,10.56018399689728,158999.04173368608,0.7634164857359623,0.1455500494702783,245.42053458681636,85860.05884739845,1011703.381360042,1.4577453630571413,1476667.3073226006,7.86134026181702e-06,7.035571927001994e-06,0.8970799036734372,907083.30206529,6.8487720750064925e-06,240.71055765896125,0.0011771565861409,85920.36028230608,1011622.8104084136,1.0564269898195389,1068937.4199477169,7.234736850030806e-06,7.132464091658332e-06,10.082846550932691,197203.1596158003,0.964365233404629,0.9818111325039732,0.0189900367272306,0.9863332400458298,997731.7520680102,7.107794744283884e-06,227.09313646957895,0.0011736018752852,86103.32947665872,1011402.2752595594,1.2446912419057266,1259599.9183363393,7.87687819897929e-06,7.434183883428223e-06,168350.09055767153,0.8700218115548319,0.9470507660310684,957532.9150886732,7.337924568265023e-06,10.34419031519404,0.9290738597897952,0.0861819593506146,0.0018282119485001,0.000362594913285,11773947.114337554,0.8917567846384887,407.1493751574458,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},4f4e1100e8de15c6518dfb9aa967b8572e55cec0,2D,"(1.0, 1.0)","(512, 512)",9894.887050628662,0.0,65535.0,56d2ca4f97b41550459ba41ea674e4e6915ff09b,"(1.0, 1.0)","(512, 512)","(135, 139, 241, 233)",56153,1,"(255.0, 255.0)","(255.0, 255.0)",43867.0,48656.0,120063916795765.0,8.040897303468158,2512.0,10.470506459718385,65535.0,1547.3071820562689,46193.17349028547,45996.0,38664.0,26871.0,1042.8371415706288,46240.20722789386,1.5428606714095985,120063916795765.0,0.004548312704732,4347487.374955169,97404.8683019517,7674108916.145692,7074861.314053409,25989.153861171097,1855.991088434158,0.8666999456510389,33.7974988806847,6.462484093235883,702.8093979095817,0.0758438327866632,0.031085637643132,0.9984063155079512,0.9700918222047415,-0.1708414912873442,0.9667990405039234,0.0303758566089898,302.2773186639117,4.7453517162023954e-05,14.707773533242063,0.9562240701384254,0.0001702198597233,604.5546373278319,9.198573029875435,6961.286237401358,8.470700534370733,47203.17986572401,0.8406172397863695,0.0896070205627843,255.40140330881695,6955.335146655125,98311.0839314017,1.2788809146439193,125302.21106619416,3.5091024630431775e-05,3.134588720948834e-05,0.9342885360829638,91937.43482551146,3.0467580728652315e-05,252.36311654333275,0.004545649974414,6958.799052993159,98327.4885358836,1.0346090657566387,101676.9534156928,3.201529246582884e-05,3.155133463557955e-05,8.126425052671262,54275.3118130911,0.9776206568775851,0.9886827061777644,0.0115770069906126,0.9914928898583114,97502.2949693566,3.1437366473661914e-05,243.38436299914247,0.0045371977741162,6971.208681204622,98374.3009954886,1.1459117855411804,112503.47071324708,3.414248740547318e-05,3.2187096233478484e-05,49096.79307259237,0.9152677579619024,0.9664892559312976,95121.44775121794,3.173987862402927e-05,8.309139071771838,0.9552828878243372,0.0500999076908052,0.021072080354237,0.00018552625629,6481420.092738694,0.7663163202767985,103.44906033546847,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},e4b61caf963c657997ffc24b563fb532ff07638b,2D,"(1.0, 1.0)","(512, 512)",11159.089782714844,0.0,65535.0,1d9c4e5b153ffde0c765af93e70c561ad95e384b,"(1.0, 1.0)","(512, 512)","(131, 139, 249, 233)",58017,1,"(255.0, 255.0)","(255.0, 255.0)",48090.0,52720.0,147713120734550.0,8.088048968834064,2371.0,7.619083381249712,65535.0,1455.7879754380829,50421.228812244684,50322.0,41752.0,23783.0,984.869792204072,50458.21729937049,1.0029832702375283,147713120734550.0,0.0043978225989489,3731378.093757303,126181.24244527592,4126086773.005088,3693888.555832099,22660.28916110932,1236.5851667242334,0.8965104114230737,27.618955688017227,6.171793547429031,466.4772244405691,0.0876410150471289,0.0371933774156874,0.998642919908905,0.9722727540817888,-0.1909240026038377,0.9764644430878802,0.0375522116861852,347.59935217634336,5.050498655433136e-05,14.632008835651664,0.9653262796024824,0.0001929507919823,695.1987043526827,9.171684525782847,5974.218581958352,8.558344447986707,47758.96659599773,0.823189178964747,0.1010381229552659,255.14847372321907,5970.26733004634,126636.1807573642,1.3155282072495993,165743.2927073099,2.9911937147555937e-05,2.6883748036119656e-05,0.9262565282589584,117466.39457472236,2.617708452700053e-05,251.75548503659215,0.0043954039873491,5981.041746840881,126668.52823168118,1.0390881723589545,131519.67706573656,2.748201178727912e-05,2.7107218725135663e-05,8.183160719870413,55833.66534309364,0.9747968734219444,0.987245117810297,0.0130757153990923,0.9904051519764716,125477.10888640952,2.7015202562598715e-05,241.74938289531,0.0043877846467131,6013.989212039763,126760.70295484246,1.1663460142297082,147408.10891897778,2.939394173114547e-05,2.7801230299758868e-05,49879.74099753158,0.9053241795689628,0.962313446832196,122069.99187012971,2.7440040776304986e-05,8.383824986737398,0.9496526880052398,0.0575021534939692,0.0152272674558191,0.0002242850309752,4543648.341083401,0.5435379376158571,89.94513814431899,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},acc5e903fd9e84a286762249716e22d17d4dd237,2D,"(1.0, 1.0)","(512, 512)",19316.28379058838,0.0,65535.0,4e7a09f4fa21c2aab5e1b94ebe5f1cba97e20842,"(1.0, 1.0)","(512, 512)","(75, 67, 361, 377)",136097,1,"(255.0, 255.0)","(255.0, 255.0)",30632.0,42639.0,191242992139916.0,9.32879527124964,7303.0,2.290647583902401,65535.0,3862.4395437214953,37206.16837990551,37701.0,24629.0,40906.0,2970.23698283279,37485.94718112784,-0.1579437303678049,191242992139916.0,0.0017250619989787,20897270.55242515,286552.44954186183,39524420613.23637,-7874880.349263277,132575.6018592992,798.6320561333588,0.9880228392375022,21.05480580937796,5.766885743697273,342.2289200453838,0.109017737009536,0.0499005356216834,0.9997047391697558,0.9874223203859188,-0.3265860863401877,0.9987676853568552,0.0506923891613368,503.5952635605735,2.56317826899059e-05,15.607498059405868,0.9906750606673386,0.0001097225333161,1007.1905271211488,10.43968580650944,33343.55847885816,9.91101494722773,105427.69034585626,0.7746510969812432,0.1379301468005009,234.77576287500827,33435.62024455821,287214.2979492568,1.4314128893362823,416894.2535544501,1.7975181090323272e-05,1.5094693828241849e-05,0.9027489747916724,258128.4888639638,1.4436016403682424e-05,230.5181322763046,0.0017233583893813,33468.399448126496,286992.0436909476,1.053161523321145,302933.8892528842,1.5598160160464178e-05,1.5241050615027943e-05,9.450616236333204,129263.76664285985,0.9663547906877258,0.9828357715452948,0.01788864561803,0.9871105093620128,283125.14513888693,1.515437852572762e-05,218.1933621592672,0.0017184774406293,33565.85599221893,286344.7395584749,1.2301506666981703,355350.8212555821,1.7241601048564756e-05,1.56939442380368e-05,111378.75531035136,0.877212195971862,0.9501650162200572,271465.5589597483,1.535489528888953e-05,9.700858507939282,0.9329301894971967,0.0811991415467892,0.0058581461791397,0.0003415951356724,5434359.870815114,0.9801624138157672,145.52250769467983,BENIGN
v3.0.1,1.25.2,2.4.0,1.7.0,3.11.9,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True}",{'Original': {}},b1739d14859457c9afe27f3cd64c4f15be1171be,2D,"(1.0, 1.0)","(512, 512)",8021.90714263916,0.0,65535.0,272f809e2286b3c457960e06b78a657852e0a46e,"(1.0, 1.0)","(512, 512)","(148, 155, 215, 201)",43215,1,"(255.0, 255.0)","(255.0, 255.0)",46623.0,50820.0,102454322767264.0,7.951362113616959,2150.0,7.211101506047943,65535.0,1312.8310961004247,48661.224713641095,48541.0,43618.0,21917.0,902.7289002740564,48690.90927244277,0.764173204861371,102454322767264.0,0.0047866214750399,2889855.145778222,45390.84974829371,2241739730.201954,1792094.913465752,17810.85752305675,559.8000850758699,0.93905280584994,18.305114292426182,5.5680243501579465,213.7099351062936,0.1202238522077653,0.0571135953432656,0.9992761477429976,0.9798444139042024,-0.2408560208145969,0.988025165586761,0.0574458713568371,202.67726811470789,8.04922257387773e-05,13.983030072982231,0.9684831815872172,0.0003087214844058,405.3545362294155,9.0397472184536,4592.664402033161,8.593909696990165,32195.293231516836,0.7450027358907054,0.1623837813373606,206.8538470438505,4624.344822668165,45820.76603031355,1.50903621427745,68739.05389332408,8.446622027373423e-05,6.464739229222946e-05,0.8875362785555428,40761.64759594148,6.019360671216322e-05,202.60865486173577,0.0047843396375372,4633.986517820459,45837.1489713077,1.0625028410846835,48652.09877964534,6.76157217923202e-05,6.516854316149435e-05,8.088498726944934,40690.708395212685,0.9608236973317564,0.979943306722203,0.0210887346326105,0.9849376108523422,45159.33681702937,6.457653918810893e-05,190.4038644918444,0.0047780141654164,4663.021201506275,45890.45372647428,1.2740025094102885,58219.469510665,7.747282108546453e-05,6.67790656933366e-05,34228.906649937264,0.8589437051427168,0.9421041684093128,43287.47581080441,6.446859528302557e-05,8.365325487502867,0.9221335184542404,0.0979888036850863,0.0180864106376579,0.0004769473842588,1415408.3027792862,0.4254991327339837,104.23809682778813,BENIGN
